
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server

  2026-04-18 12:57:38 ...................................................................................... ~ 1.77ms
  2026-04-18 12:58:08 /login ................................................................................... ~ 1s
  2026-04-18 12:58:09 /login ............................................................................... ~ 0.51ms
  2026-04-18 12:58:10 /settings .......................................................................... ~ 505.90ms
  2026-04-18 12:58:10 /login ............................................................................. ~ 501.88ms
  2026-04-18 12:58:11 /hrm/awards ........................................................................ ~ 508.82ms
  2026-04-18 12:58:11 /login ............................................................................. ~ 504.28ms
  2026-04-18 12:58:12 /hrm/complaints ...................................................................... ~ 0.26ms
  2026-04-18 12:58:12 /login ............................................................................. ~ 506.61ms
  2026-04-18 12:58:13 /hrm/resignations .................................................................. ~ 514.85ms
  2026-04-18 12:58:13 /login ............................................................................. ~ 505.84ms
  2026-04-18 12:58:14 /hrm/set-salary/ Parse error: syntax error, unexpected token "/", expecting ")" in Command line code on line 1  ~ 509.26ms
  2026-04-18 12:58:27 /login ............................................................................. ~ 514.58ms
  2026-04-18 12:58:28 /login ............................................................................. ~ 504.94ms
  2026-04-18 12:58:28 /hrm/set-salary/    Psy/Exception/ParseErrorException     PHP Parse error: Syntax error, unexpected T_NS_SEPARATOR on line 1    at vendor/psy/psysh/src/Exception/ParseErrorException.php:44      40▕      * @param /PhpParser/Error $e      41▕      */      42▕     public static function fromParseError(/PhpParser/Error $e): self      43▕     {   ➜  44▕         return new self($e->getRawMessage(), $e->getAttributes());      45▕     }      46▕ }      47▕    1   vendor/psy/psysh/src/CodeCleaner.php:657       Psy/Exception/ParseErrorException::fromParseError(Object(PhpParser/Error))    2   vendor/psy/psysh/src/CodeCleaner.php:273       Psy/CodeCleaner::parse("<  ~ 508.81ms
  2026-04-18 12:58:53 /login ............................................................................. ~ 504.32ms
  2026-04-18 12:58:54 /login ............................................................................... ~ 0.11ms
  2026-04-18 12:58:54 /settings ............................................................................ ~ 0.91ms
  2026-04-18 12:58:54 /login ............................................................................. ~ 506.08ms
  2026-04-18 12:58:55 /hrm/awards ........................................................................ ~ 507.92ms
  2026-04-18 12:58:55 /login ............................................................................. ~ 514.84ms
  2026-04-18 12:58:56 /hrm/complaints .................................................................... ~ 514.11ms
  2026-04-18 12:58:56 /login ............................................................................. ~ 515.03ms
  2026-04-18 12:58:57 /hrm/resignations .................................................................. ~ 502.20ms
  2026-04-18 12:58:57 /login ............................................................................. ~ 511.17ms
  2026-04-18 12:58:58 /hrm/set-salary/1 .................................................................. ~ 501.79ms
  2026-04-18 12:58:58 /login ............................................................................. ~ 512.49ms
  2026-04-18 12:59:18 /login ............................................................................. ~ 513.46ms
  2026-04-18 12:59:19 /login ............................................................................. ~ 516.37ms
  2026-04-18 12:59:27 /login ............................................................................. ~ 501.59ms
  2026-04-18 12:59:28 /login ............................................................................. ~ 515.63ms
  2026-04-18 12:59:28 /login ............................................................................... ~ 0.18ms
  2026-04-18 12:59:29 /settings .......................................................................... ~ 503.71ms
  2026-04-18 12:59:29 /login ............................................................................. ~ 507.44ms
  2026-04-18 12:59:29 /hrm/awards .......................................................................... ~ 0.24ms
  2026-04-18 12:59:30 /login ............................................................................. ~ 504.52ms
  2026-04-18 12:59:30 /hrm/complaints .................................................................... ~ 500.02ms
  2026-04-18 12:59:30 /login ............................................................................. ~ 507.66ms
  2026-04-18 12:59:31 /hrm/resignations .................................................................... ~ 0.29ms
  2026-04-18 12:59:31 /login ............................................................................. ~ 503.40ms
  2026-04-18 12:59:32 /hrm/set-salary/1 .................................................................. ~ 508.30ms
  2026-04-18 12:59:32 /login ............................................................................. ~ 512.65ms
  2026-04-18 12:59:42 /login ............................................................................. ~ 502.61ms
  2026-04-18 12:59:43 /login ............................................................................. ~ 512.99ms
  2026-04-18 12:59:43 /login ............................................................................. ~ 505.99ms
  2026-04-18 12:59:44 /settings ............................................................................ ~ 0.34ms
  2026-04-18 12:59:44 /login ............................................................................. ~ 505.02ms
  2026-04-18 12:59:44 /hrm/awards ........................................................................ ~ 502.41ms
  2026-04-18 12:59:45 /login ............................................................................. ~ 502.57ms
  2026-04-18 12:59:45 /hrm/complaints .................................................................... ~ 510.21ms
  2026-04-18 12:59:45 /login ............................................................................... ~ 0.16ms
  2026-04-18 12:59:46 /hrm/resignations .................................................................. ~ 513.83ms
  2026-04-18 12:59:46 /login ............................................................................. ~ 503.46ms
  2026-04-18 12:59:47 /hrm/set-salary/1 .................................................................... ~ 0.14ms
  2026-04-18 12:59:47 /login ............................................................................. ~ 505.27ms
  2026-04-18 12:59:54 /login ............................................................................. ~ 517.16ms
  2026-04-18 12:59:55 /login ............................................................................. ~ 514.20ms
  2026-04-18 12:59:55 /login ............................................................................. ~ 515.89ms
  2026-04-18 12:59:56 /hrm/awards .......................................................................... ~ 0.12ms
  2026-04-18 12:59:56 /login ............................................................................. ~ 515.24ms
  2026-04-18 13:00:51 /login ............................................................................. ~ 502.17ms
  2026-04-18 13:00:52 /login ............................................................................. ~ 501.27ms
  2026-04-18 13:00:52 /login ................................................................................... ~ 1s
  2026-04-18 13:00:53 /hrm/awards .............................................................................. ~ 1s
  2026-04-18 13:00:54 /login ................................................................................... ~ 1s
  2026-04-18 13:00:55 /hrm/complaints .................................................................... ~ 542.60ms
  2026-04-18 13:00:55 /login ................................................................................... ~ 5s
  2026-04-18 13:01:01 /hrm/resignations ........................................................................ ~ 3s
  2026-04-18 13:01:04 /login ................................................................................... ~ 2s
  2026-04-18 13:01:06 /hrm/set-salary/1 .................................................................. ~ 512.21ms
  2026-04-18 13:01:07 /login ................................................................................... ~ 1s
  2026-04-18 13:01:16 /login ................................................................................... ~ 3s
  2026-04-18 13:01:19 /login ................................................................................... ~ 2s
  2026-04-18 13:01:22 /login ................................................................................... ~ 1s
  2026-04-18 13:01:23 /hrm/set-salary/1 ........................................................................ ~ 1s
  2026-04-18 13:01:25 /login ................................................................................... ~ 2s
  2026-04-18 13:06:39 /login ................................................................................... ~ 1s
