
   INFO  Server running on [http://127.0.0.1:8080].  

  Press Ctrl+C to stop the server

  2026-04-18 08:44:22 /up ................................................................................ ~ 507.44ms
  2026-04-18 08:44:34 /up ................................................................................ ~ 507.63ms
  2026-04-18 08:45:13 /login ................................................................................... ~ 8s
  2026-04-18 08:45:22 /login ................................................................................... ~ 9s
  2026-04-18 08:45:31 /login ............................................................................. ~ 511.79ms
  2026-04-18 08:45:32 /login ............................................................................... ~ 0.39ms
  2026-04-18 08:45:32 /paypal/settings ................................................................... ~ 515.26ms
  2026-04-18 08:45:32 /paypal/settings ................................................................... ~ 513.77ms
  2026-04-18 08:45:32 /login ................................................................................... ~ 9s
  2026-04-18 08:45:33 /login .................................................................................. ~ 17s
  127.0.0.1:55882 Invalid request (An existing connection was forcibly closed by the remote host)
  2026-04-18 08:45:50 ...................................................................................... ~ 0.62ms
  2026-04-18 08:46:53 /login ............................................................................. ~ 503.43ms
  2026-04-18 08:46:53 /login ................................................................................... ~ 1s
  2026-04-18 08:46:54 /login ............................................................................... ~ 0.24ms
  2026-04-18 08:46:54 /login ............................................................................. ~ 523.36ms
  2026-04-18 08:46:54 /paypal/settings ................................................................... ~ 505.53ms
  2026-04-18 08:46:55 /paypal/settings ................................................................... ~ 515.11ms
  2026-04-18 08:46:55 /login ................................................................................... ~ 1s
  2026-04-18 08:46:55 /login ................................................................................... ~ 1s
  2026-04-18 08:46:56 /stripe/settings ..................................................................... ~ 0.12ms
  2026-04-18 08:46:57 /stripe/settings ................................................................... ~ 511.54ms
  2026-04-18 08:46:57 /login ................................................................................... ~ 1s
  2026-04-18 08:46:57 /login ................................................................................... ~ 1s
  2026-04-18 08:46:58 /google-captcha/settings ........................................................... ~ 515.95ms
  2026-04-18 08:46:58 /google-captcha/settings ........................................................... ~ 515.09ms
  2026-04-18 08:46:59 /login ............................................................................. ~ 514.10ms
  2026-04-18 08:47:37 /login ............................................................................. ~ 503.28ms
  2026-04-18 08:47:37 /login ................................................................................... ~ 1s
  2026-04-18 08:47:38 /login ................................................................................... ~ 1s
  2026-04-18 08:47:39 /login ................................................................................... ~ 1s
  2026-04-18 08:47:41 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:47:41 /dashboard ......................................................................... ~ 513.85ms
  2026-04-18 08:47:42 /paypal/settings ................................................................... ~ 513.07ms
  2026-04-18 08:47:43 /paypal/settings ................................................................... ~ 514.98ms
  2026-04-18 08:47:43 /stripe/settings ................................................................... ~ 517.93ms
  2026-04-18 08:47:44 /stripe/settings ................................................................... ~ 504.49ms
  2026-04-18 08:47:44 /google-captcha/settings ........................................................... ~ 508.49ms
  2026-04-18 08:47:45 /google-captcha/settings ........................................................... ~ 514.44ms
  2026-04-18 08:48:06 /login ............................................................................. ~ 503.26ms
  2026-04-18 08:48:07 /login ............................................................................. ~ 513.56ms
  2026-04-18 08:48:08 /login ................................................................................... ~ 1s
  2026-04-18 08:48:09 /login ................................................................................... ~ 1s
  2026-04-18 08:48:09 /dashboard ............................................................................... ~ 2s
  2026-04-18 08:48:10 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:48:12 /google-captcha/settings ........................................................... ~ 516.73ms
  2026-04-18 08:48:13 /paypal/settings ......................................................................... ~ 1s
  2026-04-18 08:48:14 /stripe/settings ................................................................... ~ 505.23ms
  2026-04-18 08:49:26 /login ............................................................................. ~ 502.18ms
  2026-04-18 08:49:26 /login ................................................................................... ~ 1s
  2026-04-18 08:49:27 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:49:28 /google-captcha/settings ............................................................. ~ 0.20ms
  2026-04-18 08:54:00 /login ............................................................................. ~ 511.56ms
  2026-04-18 08:54:00 /build/assets/vendor-react-CE21K4bl.css ............................................ ~ 513.07ms
  2026-04-18 08:54:01 /build/assets/app-D3zpLp_v.css ....................................................... ~ 1.52ms
  2026-04-18 08:54:01 /build/assets/app-CHooDjz-.js ........................................................ ~ 0.94ms
  2026-04-18 08:54:01 /build/assets/vendor-inertia-C-qOkn-4.js ............................................. ~ 1.81ms
  2026-04-18 08:54:01 /build/assets/radix-BA32w1ww.js ...................................................... ~ 0.12ms
  2026-04-18 08:54:01 /js/jquery.min.js .................................................................... ~ 0.11ms
  2026-04-18 08:54:01 /build/assets/vendor-react-CaJRblD1.js ............................................... ~ 3.87ms
  2026-04-18 08:54:01 /build/assets/vendor-Bdea2S_D.js ..................................................... ~ 4.46ms
  2026-04-18 08:54:02 /manifest.json ....................................................................... ~ 2.17ms
  2026-04-18 08:54:03 /favicon.ico ......................................................................... ~ 1.00ms
  2026-04-18 08:54:03 /sw.js ............................................................................... ~ 2.60ms
  2026-04-18 08:54:03 /login ................................................................................... ~ 6s
  2026-04-18 08:54:10 /build/assets/vendor-react-CE21K4bl.css .............................................. ~ 0.13ms
  2026-04-18 08:54:10 /_debugbar/assets/stylesheets ...................................................... ~ 515.35ms
  2026-04-18 08:54:10 /build/assets/app-D3zpLp_v.css ..................................................... ~ 516.29ms
  2026-04-18 08:54:10 /build/assets/vendor-inertia-C-qOkn-4.js ........................................... ~ 516.94ms
  2026-04-18 08:54:10 /build/assets/app-CHooDjz-.js ...................................................... ~ 517.72ms
  2026-04-18 08:54:02 /manifest.json ........................................................................... ~ 8s
  2026-04-18 08:54:10 /build/assets/vendor-react-CaJRblD1.js ............................................. ~ 519.80ms
  2026-04-18 08:54:10 /build/assets/vendor-Bdea2S_D.js ................................................... ~ 521.07ms
  2026-04-18 08:54:11 /build/assets/radix-BA32w1ww.js ...................................................... ~ 0.17ms
  2026-04-18 08:54:11 /_debugbar/assets/javascript ....................................................... ~ 510.54ms
  2026-04-18 08:54:11 /js/jquery.min.js .................................................................. ~ 511.54ms
  2026-04-18 08:54:11 /favicon.ico ......................................................................... ~ 2.76ms
  2026-04-18 08:54:11 /sw.js ............................................................................... ~ 3.76ms
  2026-04-18 08:54:12 / ........................................................................................ ~ 4s
  2026-04-18 08:54:16 /login ................................................................................... ~ 1s
  2026-04-18 08:54:17 /build/assets/vendor-react-CE21K4bl.css .............................................. ~ 0.22ms
  2026-04-18 08:54:17 /build/assets/vendor-inertia-C-qOkn-4.js ............................................. ~ 0.91ms
  2026-04-18 08:54:17 /build/assets/app-D3zpLp_v.css ....................................................... ~ 1.66ms
  2026-04-18 08:54:17 /build/assets/app-CHooDjz-.js ........................................................ ~ 2.28ms
  2026-04-18 08:54:17 /build/assets/vendor-react-CaJRblD1.js ............................................... ~ 2.89ms
  2026-04-18 08:54:17 /build/assets/vendor-Bdea2S_D.js ..................................................... ~ 3.45ms
  2026-04-18 08:54:17 /build/assets/radix-BA32w1ww.js ...................................................... ~ 2.38ms
  2026-04-18 08:54:17 /js/jquery.min.js .................................................................... ~ 3.31ms
  2026-04-18 08:54:17 /manifest.json ....................................................................... ~ 4.07ms
  2026-04-18 08:54:18 /sw.js ............................................................................... ~ 0.95ms
  2026-04-18 08:54:18 /build/assets/vendor-react-CE21K4bl.css .................................................. ~ 1s
  2026-04-18 08:54:17 /manifest.json ........................................................................... ~ 2s
  2026-04-18 08:54:19 /build/assets/app-D3zpLp_v.css ....................................................... ~ 2.17ms
  2026-04-18 08:54:19 /build/assets/vendor-react-CE21K4bl.css .............................................. ~ 0.17ms
  2026-04-18 08:54:20 /.well-known/appspecific/com.chrome.devtools.json .................................. ~ 515.03ms
  2026-04-18 08:57:02 /up ...................................................................................... ~ 1s
  2026-04-18 08:57:47 /login ................................................................................... ~ 1s
  2026-04-18 08:57:47 /login ................................................................................... ~ 1s
  2026-04-18 08:57:49 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:57:50 /login ................................................................................... ~ 1s
  2026-04-18 08:57:51 /login ................................................................................... ~ 2s
  2026-04-18 08:57:53 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:57:54 /slack/settings .......................................................................... ~ 1s
  2026-04-18 08:57:55 /telegram/settings ................................................................. ~ 507.23ms
  2026-04-18 08:57:56 /twilio/settings ......................................................................... ~ 1s
  2026-04-18 08:57:57 /ai-assistant/settings ............................................................. ~ 515.37ms
  2026-04-18 08:57:57 /slack/settings .......................................................................... ~ 1s
  2026-04-18 08:57:58 /dashboard ......................................................................... ~ 504.96ms
  2026-04-18 08:57:59 /telegram/settings ................................................................. ~ 510.87ms
  2026-04-18 08:57:59 /dashboard ......................................................................... ~ 501.48ms
  2026-04-18 08:58:00 /twilio/settings ......................................................................... ~ 1s
  2026-04-18 08:58:01 /dashboard ......................................................................... ~ 514.73ms
  2026-04-18 08:58:01 /ai-assistant/settings ............................................................. ~ 513.96ms
  2026-04-18 08:58:02 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:58:19 /login ................................................................................... ~ 1s
  2026-04-18 08:58:20 /login ................................................................................... ~ 1s
  2026-04-18 08:58:21 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:58:22 /slack/settings .......................................................................... ~ 1s
  2026-04-18 08:58:23 /twilio/settings ................................................................... ~ 506.66ms
  2026-04-18 08:58:24 /ai-assistant/settings ................................................................... ~ 1s
  2026-04-18 08:58:25 /telegram/settings ................................................................. ~ 516.16ms
  2026-04-18 08:58:36 /login ............................................................................. ~ 502.46ms
  2026-04-18 08:58:36 /login ................................................................................... ~ 1s
  2026-04-18 08:58:38 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:58:39 /slack/settings .................................................................... ~ 504.71ms
  2026-04-18 08:59:06 /login ............................................................................. ~ 502.82ms
  2026-04-18 08:59:07 /login ................................................................................... ~ 1s
  2026-04-18 08:59:09 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:10 /slack/settings/store .............................................................. ~ 505.43ms
  2026-04-18 08:59:32 /login ............................................................................. ~ 516.42ms
  2026-04-18 08:59:33 /login ................................................................................... ~ 3s
  2026-04-18 08:59:36 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:38 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:38 /slack/settings/store .............................................................. ~ 511.70ms
  2026-04-18 08:59:39 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:40 /telegram/settings/store ................................................................. ~ 1s
  2026-04-18 08:59:41 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:42 /twilio/settings/store ............................................................. ~ 512.11ms
  2026-04-18 08:59:43 /dashboard ............................................................................... ~ 1s
  2026-04-18 08:59:44 /ai-assistant/settings ................................................................... ~ 1s
  2026-04-18 08:59:45 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:12 /login ............................................................................. ~ 517.22ms
  2026-04-18 09:00:13 /login ................................................................................... ~ 1s
  2026-04-18 09:00:14 /dashboard ............................................................................... ~ 1s
  2026-04-18 09:00:15 /twilio/settings ................................................................... ~ 501.20ms
  2026-04-18 09:00:16 /slack/settings .......................................................................... ~ 1s
